"","x"
"457",177.589
"458",325.946
"459",417.003
"460",387.222
"461",233.74
"462",197.356
"463",167.174
"464",153.784
"465",142.574
"466",134.816
"467",155.189
"468",159.538
"469",205.205
"470",265.036
"471",322.056
"472",423.741
"473",278.846
"474",235.283
"475",174.439
"476",159.124
"477",147.185
"478",138.097
"479",133.142
"480",165.756
"481",212.815
"482",177.103
"483",240
"484",272.102
"485",371.004
"486",217.267
"487",170
"488",157.154
"489",145.442
"490",143.586
"491",159.741
"492",211.09
"493",177.525
"494",198.465
"495",393.345
"496",233.958
"497",203.443
"498",171.185
"499",148.207
"500",136.68
"501",129.27
"502",126.45
"503",126.016
"504",141.491
"505",189.728
"506",192.142
"507",275.007
"508",348.521
"509",309.597
"510",191.577
"511",161.978
"512",150.815
"513",138.855
"514",129.113
"515",127.161
"516",161.159
"517",236.523
"518",219.847
"519",242.111
"520",247.156
"521",322.232
"522",357.288
"523",198.397
"524",169.561
"525",153.597
"526",145.052
"527",184.274
"528",184.614
"529",216.35
"530",235.054
"531",204.076
"532",241.046
"533",246.381
"534",162.41
"535",149.645
"536",138.528
"537",130.189
"538",123.865
"539",148.595
"540",185.748
"541",196.358
"542",240.158
"543",300.444
"544",358.025
"545",227.293
"546",180.063
"547",158.949
"548",147.739
"549",136.655
"550",126.186
"551",165.001
"552",200.652
"553",236.441
"554",246.691
"555",276.147
"556",268.568
"557",206.126
"558",171.6
"559",152.032
"560",139.799
"561",130.239
"562",123.908
"563",121.665
"564",188.734
"565",219.09
"566",302.984
"567",210.957
"568",239.657
"569",232.736
"570",170.798
"571",158.524
"572",140.072
"573",129.717
"574",121.304
"575",129.419
"576",165.563
"577",279.668
"578",187.889
"579",218.849
"580",250.22
"581",213.434
"582",172.574
"583",145.989
"584",134.222
"585",125.06
"586",120.162
"587",121.328
"588",156.239
"589",207.976
"590",169.986
"591",215.243
"592",216.419
"593",198.26
"594",179.432
"595",138.361
"596",128.62
"597",120.034
"598",113.97
"599",115.558
"600",128.896
"601",132.452
"602",336.958
"603",192.773
"604",169.786
"605",151.521
"606",126.846
"607",121.934
"608",112.883
"609",108.695
"610",106.312
"611",120.365
"612",137.282
"613",159.076
"614",162.854
"615",271.357
"616",217.129
"617",227.396
"618",144.604
"619",130.76
"620",113.433
"621",104.778
"622",101.777
"623",137.081
"624",173.561
"625",170.448
"626",246.386
"627",329.051
"628",218.924
"629",147.269
"630",132.573
"631",124.715
"632",117.239
"633",110.346
"634",136.705
