,month,year,vazao
277,12,1988,316.634
278,1,1989,240.43
279,2,1989,274.684
280,3,1989,342.371
281,4,1989,308.255
282,5,1989,258.647
283,6,1989,194.961
284,7,1989,181.669
285,8,1989,166.34099999999995
286,9,1989,160.886
287,10,1989,163.27700000000004
288,11,1989,225.051
289,12,1989,511.51
290,1,1990,362.915
291,2,1990,331.535
292,3,1990,321.522
293,4,1990,265.473
294,5,1990,209.318
295,6,1990,183.534
296,7,1990,175.545
297,8,1990,159.483
298,9,1990,163.614
299,10,1990,177.774
300,11,1990,189.247
301,12,1990,228.25
302,1,1991,394.137
303,2,1991,302.004
304,3,1991,314.024
305,4,1991,280.765
306,5,1991,213.334
307,6,1991,179.265
308,7,1991,165.537
309,8,1991,156.745
310,9,1991,152.236
311,10,1991,148.452
312,11,1991,221.706
313,12,1991,226.079
314,1,1992,327.76
315,2,1992,487.233
316,3,1992,214.719
317,4,1992,240.433
318,5,1992,192.75
319,6,1992,165.578
320,7,1992,156.502
321,8,1992,147.175
322,9,1992,144.94899999999996
323,10,1992,149.253
324,11,1992,213.359
325,12,1992,277.17900000000003
326,1,1993,214.881
327,2,1993,277.351
328,3,1993,233.274
329,4,1993,238.992
330,5,1993,193.55900000000003
331,6,1993,153.44
332,7,1993,142.457
333,8,1993,135.50799999999998
334,9,1993,142.377
335,10,1993,162.02700000000004
336,11,1993,163.484
337,12,1993,226.026
338,1,1994,265.67900000000003
339,2,1994,271.006
340,3,1994,340.22
341,4,1994,280.154
342,5,1994,179.919
343,6,1994,167.02
344,7,1994,153.35399999999996
345,8,1994,138.983
346,9,1994,130.17600000000002
347,10,1994,138.115
348,11,1994,193.698
349,12,1994,251.917
350,1,1995,266.47
351,2,1995,279.254
352,3,1995,264.445
353,4,1995,305.898
354,5,1995,235.443
355,6,1995,179.845
356,7,1995,157.695
357,8,1995,144.553
358,9,1995,132.54
359,10,1995,144.09799999999996
360,11,1995,222.578
361,12,1995,281.356
362,1,1996,273.473
363,2,1996,241.106
364,3,1996,279.327
365,4,1996,269.305
366,5,1996,211.635
367,6,1996,165.41099999999997
368,7,1996,151.101
369,8,1996,138.743
370,9,1996,129.5
371,10,1996,156.784
372,11,1996,226.87
373,12,1996,202.002
374,1,1997,344.201
375,2,1997,226.937
376,3,1997,442.304
