EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
34060000;1;01/06/2015;;1;1;147,559;131,418;138,361;1;30;1;1;1;;0;147,559;146,123;143,98;142,559;142,559;142,559;141,144;140,439;139,736;139,736;139,736;139,736;139,736;139,736;139,736;139,034;138,334;137,635;136,938;136,938;136,938;136,243;134,166;134,166;133,477;132,789;132,789;132,789;132,103;131,418;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
34060000;1;01/05/2015;;1;1;234,235;148,28;179,432;5;29;1;1;1;;0;228,084;207,549;214,299;230,711;234,235;210,912;202,551;201,723;208,388;214,299;199,248;187,88;184,687;177,591;173,702;171,387;168,322;163,018;160,021;157,048;156,309;154,835;154,101;154,101;152,636;151,178;149,726;149,002;148,28;148,28;148,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34060000;1;01/04/2015;;1;1;266,076;168,322;198,26;23;16;1;1;1;;0;192,716;187,08;190,291;185,483;179,943;176,81;178,373;182,308;188,682;187,08;191,098;187,88;179,943;169,086;170,619;168,322;172,158;175,253;189,486;199,248;195,154;251,296;266,076;225,47;214,299;223,735;242,25;222,87;213,45;241,354;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
34060000;1;01/07/2016;;1;1;115,467;110,355;112,883;1;27;1;1;1;;0;115,467;115,467;115,467;115,467;115,467;114,18;114,18;114,18;114,18;114,18;114,18;112,898;112,898;113,538;112,898;112,898;112,898;112,26;111,623;112,26;112,898;112,26;111,623;111,623;111,623;110,989;110,355;110,355;110,355;110,355;110,355;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
34060000;1;01/06/2016;;1;1;137,635;115,467;121,934;12;28;1;1;1;;0;119,369;119,369;120,683;120,683;120,683;121,341;122,664;123,328;123,994;123,994;123,994;137,635;131,418;128,696;127,345;126;126;123,994;121,341;120,683;119,369;119,369;118,715;118,062;118,062;118,715;116,114;115,467;115,467;115,467;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
34060000;1;01/05/2016;;1;1;136,938;120,025;126,846;3;31;1;1;1;;0;134,857;134,857;136,938;136,938;134,857;133,477;132,103;130,736;128,696;127,345;127,345;127,345;127,345;126;126;125,329;125,329;126;126;125,329;123,328;123,328;122,664;122,002;122,002;122,002;122,002;120,683;120,683;120,683;120,025;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
34060000;1;01/04/2016;;1;1;230,711;131,418;151,521;13;27;1;1;1;;0;157,048;155,571;154,101;159,275;150,451;145,407;143,98;143,269;142,559;143,98;158,531;200,896;230,711;193,527;172,929;158,531;153,367;148,28;146,84;141,851;139,736;136,938;134,857;134,166;134,166;132,789;131,418;131,418;132,789;136,243;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
34060000;1;01/03/2016;;1;1;210,912;135,549;169,786;16;5;1;1;1;;0;142,559;142,559;136,938;136,938;135,549;136,938;143,98;160,021;177,591;170,619;169,086;186,281;189,486;183,099;184,687;210,912;189,486;172,929;163,018;161,516;164,526;167,56;195,97;192,716;175,253;189,486;210,069;179,157;171,387;163,018;160,021;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
34060000;2;01/01/1966;;1;1;374,032;150,204;230,477;15;2;2;2;2;;0;156,892;150,204;154,202;167,848;184,868;196,6;205,599;208,637;219,417;227,258;256,448;261,457;319,253;349,021;374,032;352,821;281,907;268,201;235,216;222,54;193,638;181,983;177,692;173,444;169,24;169,24;202,581;214,769;254,787;303,006;311,987;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
34060000;2;01/02/1966;;1;1;1251,75;205,599;487,809;11;28;2;2;2;;0;281,907;263,137;341,473;577,709;600,044;488,741;547,986;727,221;900,737;1244,071;1251,75;1075,651;919,687;622,412;466,599;372,082;315,611;294,136;283,64;271,6;258,113;246,552;233,615;228,841;217,863;213,229;208,637;205,599;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;
