,EstacaoCodigo,NivelConsistencia,Data,Hora,MediaDiaria,MetodoObtencaoVazoes,Maxima,Minima,Media,DiaMaxima,DiaMinima,MaximaStatus,MinimaStatus,MediaStatus,MediaAnual,MediaAnualStatus,Vazao01,Vazao02,Vazao03,Vazao04,Vazao05,Vazao06,Vazao07,Vazao08,Vazao09,Vazao10,Vazao11,Vazao12,Vazao13,Vazao14,Vazao15,Vazao16,Vazao17,Vazao18,Vazao19,Vazao20,Vazao21,Vazao22,Vazao23,Vazao24,Vazao25,Vazao26,Vazao27,Vazao28,Vazao29,Vazao30,Vazao31,Vazao01Status,Vazao02Status,Vazao03Status,Vazao04Status,Vazao05Status,Vazao06Status,Vazao07Status,Vazao08Status,Vazao09Status,Vazao10Status,Vazao11Status,Vazao12Status,Vazao13Status,Vazao14Status,Vazao15Status,Vazao16Status,Vazao17Status,Vazao18Status,Vazao19Status,Vazao20Status,Vazao21Status,Vazao22Status,Vazao23Status,Vazao24Status,Vazao25Status,Vazao26Status,Vazao27Status,Vazao28Status,Vazao29Status,Vazao30Status,Vazao31Status
29,34060000,2,1966-01-11,,1,1,326.589,142.343,191.801,30,4,2,2,2,,0,155.545,152.865,146.251,142.343,142.343,147.564,151.532,151.532,148.882,147.564,146.251,147.564,150.204,152.865,199.581,310.182,315.611,165.08,156.892,173.44400000000002,180.548,184.868,210.16299999999998,207.11599999999999,228.84099999999998,243.29,248.19,238.43200000000002,281.907,326.589,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
30,34060000,2,1966-01-12,,1,1,413.936,160.964,267.001,27,11,2,2,2,,0,326.589,319.253,311.987,297.671,285.378,232.019,195.11700000000002,176.271,166.46200000000002,162.33100000000002,160.964,160.964,160.964,167.84799999999998,174.855,181.983,190.696,214.769,311.987,275.018,295.901,326.589,315.611,299.444,395.767,397.76800000000003,413.936,399.774,364.325,326.589,268.20099999999996,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
626,34060000,2,1966-10-31,,1,1,326.589,142.343,191.801,30,4,2,2,2,0.0,0,155.545,152.865,146.251,142.343,142.343,147.564,151.532,151.532,148.882,147.564,146.251,147.564,150.204,152.865,199.581,310.182,315.611,165.08,156.892,173.44400000000002,180.548,184.868,210.16299999999998,207.11599999999999,228.84099999999998,243.29,248.19,238.43200000000002,281.907,326.589,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
31,34060000,2,1967-01-01,,1,1,424.17900000000003,169.24,223.08900000000003,31,17,2,2,2,,0,254.787,248.19,243.29,235.21599999999998,227.25799999999998,217.863,207.11599999999999,201.078,193.638,186.31799999999998,179.11700000000002,174.855,172.03799999999998,172.03799999999998,176.271,172.03799999999998,169.24,169.24,173.44400000000002,183.423,199.581,227.25799999999998,241.666,214.769,198.088,210.16299999999998,243.29,288.868,347.12699999999995,364.325,424.17900000000003,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
32,34060000,2,1967-01-02,,1,1,525.737,236.822,351.848,1,8,2,2,2,,0,525.737,420.069,418.02,364.325,333.996,269.89799999999997,243.29,236.822,249.832,251.479,395.767,385.82199999999995,259.783,275.018,393.769,432.45,449.195,522.0319999999999,518.3290000000001,442.884,287.121,271.6,271.6,313.797,339.597,350.918,341.473,287.121,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,
33,34060000,2,1967-01-03,,1,1,496.131,232.019,339.108,19,5,2,2,2,,0,264.82,276.733,290.619,243.29,232.019,232.019,246.55200000000002,248.19,248.19,249.832,256.448,258.113,254.787,244.919,241.666,249.832,269.89799999999997,356.63800000000003,496.131,473.975,462.913,470.286,459.228,434.528,413.936,422.12199999999996,442.884,455.54400000000004,453.423,432.45,430.376,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
34,34060000,2,1967-01-04,,1,1,570.2719999999999,335.85900000000004,434.699,11,30,2,2,2,,0,428.306,428.306,426.24,424.17900000000003,426.24,434.528,477.665,492.436,507.225,566.555,570.2719999999999,488.741,462.913,451.30699999999996,449.195,426.24,403.79900000000004,401.784,393.769,395.767,424.17900000000003,442.884,462.913,481.356,407.841,368.195,356.63800000000003,354.727,350.918,335.85900000000004,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
35,34060000,2,1967-01-05,,1,1,317.43,180.548,211.278,1,30,2,2,2,,0,317.43,299.444,254.787,249.832,249.832,230.428,222.54,216.31400000000002,210.16299999999998,207.11599999999999,207.11599999999999,205.59900000000002,205.59900000000002,204.08700000000002,204.08700000000002,204.08700000000002,201.078,198.088,198.088,196.6,196.6,195.11700000000002,193.638,192.165,187.77200000000002,186.31799999999998,186.31799999999998,184.868,183.423,180.548,180.548,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
36,34060000,2,1967-01-06,,1,1,177.692,142.343,161.11700000000002,1,30,2,2,2,,0,177.692,176.271,176.271,176.271,176.271,174.855,174.855,173.44400000000002,172.03799999999998,170.637,169.24,169.24,166.46200000000002,165.08,163.703,162.33100000000002,160.964,158.245,155.545,150.204,150.204,148.882,147.564,147.564,147.564,146.251,144.944,144.944,143.641,142.343,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
37,34060000,2,1967-01-07,,1,1,150.204,138.48,144.291,25,21,2,2,2,,0,144.944,144.944,144.944,144.944,144.944,144.944,143.641,143.641,143.641,142.343,143.641,142.343,142.343,141.05,141.05,141.05,139.763,139.763,139.763,139.763,138.48,138.48,144.944,147.564,150.204,150.204,150.204,150.204,150.204,150.204,148.882,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
