,data,vel_m,month,year
4504,2002-04-15,2.5722,4,2002
4505,2002-04-16,1.7148,4,2002
4506,2002-04-17,2.74368,4,2002
4507,2002-04-18,1.7148,4,2002
4508,2002-04-19,3.08664,4,2002
4509,2002-04-20,4.458480000000001,4,2002
4510,2002-04-21,2.74368,4,2002
4511,2002-04-22,1.37184,4,2002
4512,2002-04-23,2.05776,4,2002
4513,2002-04-24,2.40072,4,2002
4514,2002-04-25,3.4296,4,2002
4515,2002-04-26,3.77256,4,2002
4516,2002-04-27,1.20036,4,2002
4517,2002-04-28,2.74368,4,2002
4518,2002-04-29,3.08664,4,2002
4519,2002-04-30,2.05776,4,2002
4520,2002-05-01,0.0,5,2002
4521,2002-05-02,0.34296,5,2002
4522,2002-05-03,0.68592,5,2002
4523,2002-05-04,0.0,5,2002
4524,2002-05-05,1.37184,5,2002
4525,2002-05-06,0.34296,5,2002
4526,2002-05-07,2.40072,5,2002
4527,2002-05-08,2.05776,5,2002
4528,2002-05-09,0.68592,5,2002
4529,2002-05-10,2.05776,5,2002
4530,2002-05-11,1.7148,5,2002
4531,2002-05-12,2.05776,5,2002
4532,2002-05-13,2.40072,5,2002
4533,2002-05-14,2.05776,5,2002
4534,2002-05-15,0.34296,5,2002
4535,2002-05-16,0.0,5,2002
4536,2002-05-17,0.0,5,2002
4537,2002-05-18,1.02888,5,2002
4538,2002-05-19,1.02888,5,2002
4539,2002-05-20,1.37184,5,2002
4540,2002-05-21,0.0,5,2002
4541,2002-05-22,0.34296,5,2002
4542,2002-05-23,1.02888,5,2002
4543,2002-05-24,0.0,5,2002
4544,2002-05-25,0.0,5,2002
4545,2002-05-26,1.37184,5,2002
4546,2002-05-27,1.7148,5,2002
4547,2002-05-28,0.68592,5,2002
4548,2002-05-29,1.37184,5,2002
4549,2002-05-30,1.02888,5,2002
4550,2002-05-31,0.34296,5,2002
4551,2002-06-01,0.0,6,2002
4552,2002-06-02,0.0,6,2002
4553,2002-06-03,0.0,6,2002
4554,2002-06-04,0.0,6,2002
4555,2002-06-05,1.02888,6,2002
4556,2002-06-06,0.34296,6,2002
4557,2002-06-07,0.0,6,2002
4558,2002-06-08,0.0,6,2002
4559,2002-06-09,0.34296,6,2002
4560,2002-06-10,0.34296,6,2002
4561,2002-06-11,1.7148,6,2002
4562,2002-06-12,1.02888,6,2002
4563,2002-06-13,1.7148,6,2002
4564,2002-06-14,1.02888,6,2002
4565,2002-06-15,1.7148,6,2002
4566,2002-06-16,1.7148,6,2002
4567,2002-06-17,2.40072,6,2002
4568,2002-06-18,3.77256,6,2002
4569,2002-06-19,0.68592,6,2002
4570,2002-06-20,3.08664,6,2002
4571,2002-06-21,2.05776,6,2002
4572,2002-06-22,1.7148,6,2002
4573,2002-06-23,1.20036,6,2002
4574,2002-06-24,0.68592,6,2002
4575,2002-06-25,1.02888,6,2002
4576,2002-06-26,1.37184,6,2002
4577,2002-06-27,0.68592,6,2002
4578,2002-06-28,0.68592,6,2002
4579,2002-06-29,2.40072,6,2002
4580,2002-06-30,2.05776,6,2002
4581,2002-07-01,1.666667,7,2002
4582,2002-07-02,1.666667,7,2002
4583,2002-07-03,2.0,7,2002
4584,2002-07-04,0.0,7,2002
4585,2002-07-05,1.666667,7,2002
4586,2002-07-06,2.0,7,2002
4587,2002-07-07,1.0,7,2002
4588,2002-07-08,0.666667,7,2002
4589,2002-07-09,0.666667,7,2002
4590,2002-07-10,1.0,7,2002
4591,2002-07-11,1.0,7,2002
4592,2002-07-12,0.0,7,2002
4593,2002-07-13,2.666667,7,2002
4594,2002-07-14,2.666667,7,2002
4595,2002-07-15,2.666667,7,2002
4596,2002-07-16,2.333333,7,2002
4597,2002-07-17,3.333333,7,2002
4598,2002-07-18,2.0,7,2002
4599,2002-07-19,3.666667,7,2002
4600,2002-07-20,2.0,7,2002
4601,2002-07-21,2.0,7,2002
4602,2002-07-22,3.666667,7,2002
4603,2002-07-23,2.666667,7,2002
4604,2002-07-24,1.666667,7,2002
4605,2002-07-25,1.0,7,2002
4606,2002-07-26,1.333333,7,2002
4607,2002-07-27,1.333333,7,2002
4608,2002-07-28,1.0,7,2002
4609,2002-07-29,1.333333,7,2002
4610,2002-07-30,2.666667,7,2002
4611,2002-07-31,3.0,7,2002
4612,2002-08-01,3.77256,8,2002
4613,2002-08-02,2.05776,8,2002
4614,2002-08-03,3.77256,8,2002
4615,2002-08-04,2.05776,8,2002
4616,2002-08-05,2.74368,8,2002
4617,2002-08-06,1.7148,8,2002
4618,2002-08-07,1.7148,8,2002
4619,2002-08-08,1.7148,8,2002
4620,2002-08-09,2.05776,8,2002
4621,2002-08-10,1.37184,8,2002
4622,2002-08-11,1.7148,8,2002
4623,2002-08-12,1.02888,8,2002
4624,2002-08-13,3.77256,8,2002
4625,2002-08-14,3.4296,8,2002
4626,2002-08-15,1.02888,8,2002
4627,2002-08-16,2.74368,8,2002
4628,2002-08-17,2.74368,8,2002
4629,2002-08-18,3.77256,8,2002
4630,2002-08-19,4.458480000000001,8,2002
4631,2002-08-20,1.02888,8,2002
4632,2002-08-21,2.40072,8,2002
4633,2002-08-22,1.37184,8,2002
4634,2002-08-23,3.08664,8,2002
4635,2002-08-24,0.34296,8,2002
4636,2002-08-25,0.34296,8,2002
4637,2002-08-26,2.40072,8,2002
4638,2002-08-27,2.40072,8,2002
4639,2002-08-28,2.74368,8,2002
4640,2002-08-29,4.458480000000001,8,2002
4641,2002-08-30,1.37184,8,2002
4642,2002-08-31,3.08664,8,2002
4643,2002-09-01,2.74368,9,2002
4644,2002-09-02,0.68592,9,2002
4645,2002-09-03,2.74368,9,2002
4646,2002-09-04,0.34296,9,2002
4647,2002-09-05,3.08664,9,2002
4648,2002-09-06,3.77256,9,2002
4649,2002-09-07,3.08664,9,2002
4650,2002-09-08,2.40072,9,2002
4651,2002-09-09,2.40072,9,2002
4652,2002-09-10,2.40072,9,2002
4653,2002-09-11,4.458480000000001,9,2002
4654,2002-09-12,3.77256,9,2002
4655,2002-09-13,4.11552,9,2002
4656,2002-09-14,1.7148,9,2002
4657,2002-09-15,4.11552,9,2002
4658,2002-09-16,3.08664,9,2002
4659,2002-09-17,3.08664,9,2002
4660,2002-09-18,2.40072,9,2002
4661,2002-09-19,2.40072,9,2002
4662,2002-09-20,3.77256,9,2002
4663,2002-09-21,1.02888,9,2002
4664,2002-09-22,1.7148,9,2002
4665,2002-09-23,2.40072,9,2002
4666,2002-09-24,2.74368,9,2002
4667,2002-09-25,2.05776,9,2002
4668,2002-09-26,1.54332,9,2002
4669,2002-09-27,2.74368,9,2002
4670,2002-09-28,2.74368,9,2002
4671,2002-09-29,5.1444,9,2002
4672,2002-09-30,2.05776,9,2002
4673,2002-10-01,2.40072,10,2002
4674,2002-10-02,2.40072,10,2002
4675,2002-10-03,2.40072,10,2002
4676,2002-10-04,3.08664,10,2002
4677,2002-10-05,3.77256,10,2002
4678,2002-10-06,2.05776,10,2002
4679,2002-10-07,4.458480000000001,10,2002
4680,2002-10-08,3.77256,10,2002
4681,2002-10-09,4.458480000000001,10,2002
4682,2002-10-10,4.458480000000001,10,2002
4683,2002-10-11,4.458480000000001,10,2002
4684,2002-10-12,4.458480000000001,10,2002
4685,2002-10-13,3.77256,10,2002
4686,2002-10-14,3.77256,10,2002
4687,2002-10-15,4.458480000000001,10,2002
4688,2002-10-16,3.08664,10,2002
4689,2002-10-17,2.40072,10,2002
4690,2002-10-18,3.77256,10,2002
4691,2002-10-19,5.1444,10,2002
4692,2002-10-20,2.40072,10,2002
4693,2002-10-21,3.08664,10,2002
4694,2002-10-22,2.5722,10,2002
4695,2002-10-23,4.11552,10,2002
4696,2002-10-24,3.77256,10,2002
4697,2002-10-26,1.02888,10,2002
4698,2002-10-27,1.02888,10,2002
4699,2002-10-28,4.458480000000001,10,2002
4700,2002-10-29,3.08664,10,2002
4701,2002-10-30,2.40072,10,2002
4702,2002-10-31,2.74368,10,2002
4703,2002-11-01,0.666667,11,2002
4704,2002-11-02,1.0,11,2002
4705,2002-11-03,1.0,11,2002
4706,2002-11-04,1.0,11,2002
4707,2002-11-05,1.666667,11,2002
4708,2002-11-06,2.333333,11,2002
4709,2002-11-07,2.333333,11,2002
4710,2002-11-08,2.333333,11,2002
4711,2002-11-09,1.666667,11,2002
4712,2002-11-10,1.666667,11,2002
4713,2002-11-11,3.666667,11,2002
4714,2002-11-12,4.3333330000000005,11,2002
4715,2002-11-13,3.333333,11,2002
4716,2002-11-14,4.0,11,2002
4717,2002-11-15,3.666667,11,2002
4718,2002-11-16,3.666667,11,2002
4719,2002-11-17,1.666667,11,2002
4720,2002-11-18,2.666667,11,2002
4721,2002-11-19,3.0,11,2002
4722,2002-11-20,3.333333,11,2002
4723,2002-11-21,3.666667,11,2002
4724,2002-11-22,3.666667,11,2002
4725,2002-11-23,4.3333330000000005,11,2002
4726,2002-11-24,3.666667,11,2002
4727,2002-11-25,4.3333330000000005,11,2002
4728,2002-11-26,3.666667,11,2002
4729,2002-11-27,3.666667,11,2002
4730,2002-11-28,3.666667,11,2002
4731,2002-11-29,3.666667,11,2002
4732,2002-11-30,3.666667,11,2002
4733,2002-12-01,2.5722,12,2002
4734,2002-12-02,2.05776,12,2002
4735,2002-12-03,3.08664,12,2002
4736,2002-12-04,4.458480000000001,12,2002
4737,2002-12-05,3.08664,12,2002
4738,2002-12-06,3.77256,12,2002
4739,2002-12-07,1.02888,12,2002
4740,2002-12-08,1.7148,12,2002
4741,2002-12-09,0.34296,12,2002
4742,2002-12-10,0.68592,12,2002
4743,2002-12-11,2.05776,12,2002
4744,2002-12-12,1.7148,12,2002
4745,2002-12-13,2.74368,12,2002
4746,2002-12-14,3.77256,12,2002
4747,2002-12-15,2.74368,12,2002
4748,2002-12-16,1.54332,12,2002
4749,2002-12-17,0.0,12,2002
4750,2002-12-18,0.0,12,2002
4751,2002-12-19,1.37184,12,2002
4752,2002-12-20,1.37184,12,2002
4753,2002-12-21,3.08664,12,2002
4754,2002-12-22,0.0,12,2002
4755,2002-12-23,0.0,12,2002
4756,2002-12-24,2.5722,12,2002
4757,2002-12-25,1.7148,12,2002
4758,2002-12-26,0.68592,12,2002
4759,2002-12-27,1.02888,12,2002
4760,2002-12-28,2.74368,12,2002
4761,2002-12-29,1.54332,12,2002
4762,2002-12-30,3.666667,12,2002
4763,2002-12-31,1.02888,12,2002
4764,2003-01-01,1.0,1,2003
4765,2003-01-02,1.0,1,2003
4766,2003-01-03,0.333333,1,2003
4767,2003-01-04,0.333333,1,2003
4768,2003-01-05,1.0,1,2003
4769,2003-01-06,0.0,1,2003
4770,2003-01-07,2.0,1,2003
4771,2003-01-08,2.0,1,2003
4772,2003-01-09,3.666667,1,2003
4773,2003-01-10,3.333333,1,2003
4774,2003-01-11,2.666667,1,2003
4775,2003-01-12,1.0,1,2003
4776,2003-01-13,0.0,1,2003
4777,2003-01-14,0.333333,1,2003
4778,2003-01-15,1.333333,1,2003
4779,2003-01-16,1.666667,1,2003
4780,2003-01-17,1.0,1,2003
4781,2003-01-18,0.333333,1,2003
4782,2003-01-19,1.0,1,2003
4783,2003-01-20,0.666667,1,2003
4784,2003-01-21,2.666667,1,2003
4785,2003-01-22,4.0,1,2003
4786,2003-01-23,2.666667,1,2003
4787,2003-01-24,1.666667,1,2003
4788,2003-01-25,2.666667,1,2003
4789,2003-01-26,1.0,1,2003
4790,2003-01-27,1.0,1,2003
4791,2003-01-28,0.0,1,2003
4792,2003-01-29,0.333333,1,2003
4793,2003-01-30,1.0,1,2003
4794,2003-01-31,1.666667,1,2003
4795,2003-02-01,1.666667,2,2003
4796,2003-02-02,2.333333,2,2003
4797,2003-02-03,3.666667,2,2003
4798,2003-02-04,4.3333330000000005,2,2003
4799,2003-02-05,3.0,2,2003
4800,2003-02-06,2.333333,2,2003
4801,2003-02-07,3.666667,2,2003
4802,2003-02-08,4.3333330000000005,2,2003
4803,2003-02-09,1.0,2,2003
4804,2003-02-10,1.0,2,2003
4805,2003-02-11,1.666667,2,2003
4806,2003-02-12,0.333333,2,2003
4807,2003-02-13,0.666667,2,2003
4808,2003-02-14,2.333333,2,2003
4809,2003-02-15,2.333333,2,2003
4810,2003-02-16,3.0,2,2003
4811,2003-02-17,2.0,2,2003
4812,2003-02-18,2.666667,2,2003
4813,2003-02-19,3.0,2,2003
4814,2003-02-20,0.666667,2,2003
4815,2003-02-21,3.666667,2,2003
4816,2003-02-22,2.0,2,2003
4817,2003-02-23,2.666667,2,2003
4818,2003-02-24,3.0,2,2003
4819,2003-02-25,2.0,2,2003
4820,2003-02-26,3.666667,2,2003
4821,2003-02-27,1.666667,2,2003
4822,2003-02-28,2.0,2,2003
4823,2003-03-01,2.333333,3,2003
4824,2003-03-02,2.0,3,2003
4825,2003-03-03,3.0,3,2003
4826,2003-03-04,1.0,3,2003
4827,2003-03-05,1.666667,3,2003
4828,2003-03-06,2.0,3,2003
4829,2003-03-07,2.333333,3,2003
4830,2003-03-08,2.666667,3,2003
4831,2003-03-09,3.333333,3,2003
4832,2003-03-10,2.666667,3,2003
4833,2003-03-11,3.0,3,2003
4834,2003-03-12,2.333333,3,2003
4835,2003-03-13,1.0,3,2003
4836,2003-03-14,3.0,3,2003
4837,2003-03-15,3.0,3,2003
4838,2003-03-16,0.333333,3,2003
4839,2003-03-17,0.333333,3,2003
4840,2003-03-18,1.666667,3,2003
4841,2003-03-19,1.666667,3,2003
4842,2003-03-20,2.0,3,2003
4843,2003-03-21,3.0,3,2003
4844,2003-03-22,3.666667,3,2003
4845,2003-03-23,2.666667,3,2003
4846,2003-03-24,2.666667,3,2003
4847,2003-03-25,3.0,3,2003
4848,2003-03-26,1.333333,3,2003
4849,2003-03-27,3.666667,3,2003
4850,2003-03-28,1.333333,3,2003
4851,2003-03-29,1.0,3,2003
4852,2003-03-30,2.0,3,2003
4853,2003-03-31,1.333333,3,2003
4854,2003-04-01,2.066667,4,2003
4855,2003-04-02,3.666667,4,2003
4856,2003-04-03,3.333333,4,2003
4857,2003-04-04,2.666667,4,2003
4858,2003-04-05,2.0,4,2003
4859,2003-04-06,1.666667,4,2003
4860,2003-04-07,1.666667,4,2003
4861,2003-04-08,0.0,4,2003
4862,2003-04-09,1.333333,4,2003
4863,2003-04-10,0.666667,4,2003
4864,2003-04-11,1.333333,4,2003
