Sistema de Informações Hidrológicas,,,,,,,,,,,,,,,,,,,,
Versão Web 3.0,,,,,,,,,,,,,,,,,,,,
© 2018 Agência Nacional de Águas (ANA),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NivelConsistencia: 1 = Bruto, 2 = Consistido,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Restrições da consulta:,,,,,,,,,,,,,,,,,,,,
Código da Estação:34060000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
EstacaoCodigo,NivelConsistencia,Data,Hora,NumMedicao,Cota,Vazao,,,,,,,,,,,,,,
34060000,1,20/05/1983,01/01/1900 07:00:00,90,295,192,,,,,,,,,,,,,,
34060000,1,26/09/1983,01/01/1900 07:00:00,91,267,150,,,,,,,,,,,,,,
34060000,1,20/01/1984,01/01/1900 07:00:00,92,317,211,,,,,,,,,,,,,,
34060000,1,08/04/1984,01/01/1900 07:00:00,93,403,384,,,,,,,,,,,,,,
34060000,1,24/06/1984,01/01/1900 07:00:00,94,283,158,,,,,,,,,,,,,,
34060000,1,03/02/1985,01/01/1900 07:00:00,95,480,627,,,,,,,,,,,,,,
34060000,1,04/02/1985,01/01/1900 07:00:00,97,461,534,,,,,,,,,,,,,,
34060000,1,14/03/1985,01/01/1900 07:00:00,99,380,323,,,,,,,,,,,,,,
34060000,1,24/05/1985,01/01/1900 07:00:00,100,318,211,,,,,,,,,,,,,,
34060000,1,21/07/1985,01/01/1900 07:00:00,101,293,172,,,,,,,,,,,,,,
34060000,1,18/02/1986,01/01/1900 07:00:00,102,410,422,,,,,,,,,,,,,,
34060000,1,21/05/1986,01/01/1900 07:00:00,103,326,233,,,,,,,,,,,,,,
34060000,1,16/10/1986,01/01/1900 07:00:00,104,348,275,,,,,,,,,,,,,,
34060000,1,20/04/1987,01/01/1900 07:00:00,105,328,215,,,,,,,,,,,,,,
34060000,1,20/06/1987,01/01/1900 07:00:00,106,297,185,,,,,,,,,,,,,,
34060000,1,10/10/1987,01/01/1900 07:00:00,107,282,157,,,,,,,,,,,,,,
34060000,1,19/02/1988,01/01/1900 07:00:00,108,388,319,,,,,,,,,,,,,,
34060000,1,16/01/1989,01/01/1900 07:00:00,112,320,227,,,,,,,,,,,,,,
34060000,1,18/03/1989,01/01/1900 07:00:00,113,387,353,,,,,,,,,,,,,,
34060000,1,20/05/1989,01/01/1900 07:00:00,114,320,224,,,,,,,,,,,,,,
34060000,1,21/09/1989,01/01/1900 07:00:00,115,300,180,,,,,,,,,,,,,,
34060000,1,29/08/1990,01/01/1900 07:00:00,116,276,158,,,,,,,,,,,,,,
34060000,1,21/02/1992,01/01/1900 07:00:00,117,367,300,,,,,,,,,,,,,,
34060000,1,01/06/1992,01/01/1900 07:00:00,118,288,170,,,,,,,,,,,,,,
34060000,1,30/11/1992,01/01/1900 07:00:00,119,303,183,,,,,,,,,,,,,,
34060000,1,03/03/1993,01/01/1900 07:00:00,120,361,279,,,,,,,,,,,,,,
34060000,1,01/04/1993,01/01/1900 07:00:00,121,412,379,,,,,,,,,,,,,,
34060000,1,21/06/1993,01/01/1900 07:00:00,122,272,154,,,,,,,,,,,,,,
34060000,1,02/11/1993,01/01/1900 07:00:00,123,263,142,,,,,,,,,,,,,,
34060000,1,03/02/1994,01/01/1900 07:00:00,124,337,245,,,,,,,,,,,,,,
34060000,1,19/04/1994,01/01/1900 07:00:00,125,336,239,,,,,,,,,,,,,,
34060000,1,10/05/1994,01/01/1900 07:00:00,126,300,187,,,,,,,,,,,,,,
34060000,1,30/09/1994,01/01/1900 07:00:00,127,260,132,,,,,,,,,,,,,,
34060000,1,10/12/1994,01/01/1900 07:00:00,128,291,170,,,,,,,,,,,,,,
34060000,1,10/04/1995,01/01/1900 07:00:00,129,384,338,,,,,,,,,,,,,,
34060000,1,07/07/1995,01/01/1900 07:00:00,130,281,177,,,,,,,,,,,,,,
34060000,1,06/10/1995,01/01/1900 07:00:00,131,259,132,,,,,,,,,,,,,,
34060000,1,15/12/1995,01/01/1900 07:00:00,133,350,264,,,,,,,,,,,,,,
34060000,1,26/02/1996,01/01/1900 07:00:00,134,341,269,,,,,,,,,,,,,,
34060000,1,24/03/1996,01/01/1900 07:00:00,135,350,277,,,,,,,,,,,,,,
34060000,1,06/07/1996,01/01/1900 07:00:00,137,275,149,,,,,,,,,,,,,,
34060000,1,30/08/1996,01/01/1900 07:00:00,138,260,129,,,,,,,,,,,,,,
34060000,1,22/11/1996,01/01/1900 07:00:00,139,347,299,,,,,,,,,,,,,,
34060000,1,27/03/1997,01/01/1900 07:00:00,140,461,530,,,,,,,,,,,,,,
34060000,1,22/04/1997,01/01/1900 07:00:00,141,335,235,,,,,,,,,,,,,,
34060000,1,08/07/1997,01/01/1900 07:00:00,142,287,165,,,,,,,,,,,,,,
34060000,1,08/11/1997,01/01/1900 07:00:00,143,271,161,,,,,,,,,,,,,,
34060000,1,14/03/1998,01/01/1900 07:00:00,144,327,248,,,,,,,,,,,,,,
34060000,1,17/05/1998,01/01/1900 07:00:00,145,298,167,,,,,,,,,,,,,,
34060000,1,18/07/1998,01/01/1900 07:00:00,146,277,139,,,,,,,,,,,,,,
34060000,1,26/11/1998,01/01/1900 07:00:00,147,387,283,,,,,,,,,,,,,,
34060000,1,03/04/1999,01/01/1900 07:00:00,148,320,197,,,,,,,,,,,,,,
34060000,1,24/05/1999,01/01/1900 07:00:00,149,312,183,,,,,,,,,,,,,,
34060000,1,20/07/1999,01/01/1900 07:00:00,150,286,140,,,,,,,,,,,,,,
34060000,1,25/11/1999,01/01/1900 07:00:00,151,390,345,,,,,,,,,,,,,,
34060000,1,25/06/2000,01/01/1900 10:40:00,151,306,166,,,,,,,,,,,,,,
34060000,1,10/10/2000,01/01/1900 14:40:00,152,298,152,,,,,,,,,,,,,,
34060000,1,18/11/2000,01/01/1900 11:00:00,153,350,241,,,,,,,,,,,,,,
34060000,1,18/06/1966,01/01/1900 07:00:00,2,268,154,,,,,,,,,,,,,,
34060000,1,02/07/1966,01/01/1900 07:00:00,4,262,149,,,,,,,,,,,,,,
34060000,1,22/02/1968,01/01/1900 07:00:00,6,371,329,,,,,,,,,,,,,,
34060000,1,15/03/1968,01/01/1900 07:00:00,8,385,340,,,,,,,,,,,,,,
34060000,1,24/03/1968,01/01/1900 07:00:00,10,411,405,,,,,,,,,,,,,,
34060000,1,24/03/1968,01/01/1900 07:00:00,11,404,387,,,,,,,,,,,,,,
34060000,1,25/03/1968,01/01/1900 07:00:00,13,374,322,,,,,,,,,,,,,,
34060000,1,25/03/1968,01/01/1900 07:00:00,14,370,318,,,,,,,,,,,,,,
34060000,1,27/06/1968,01/01/1900 07:00:00,17,277,168,,,,,,,,,,,,,,
34060000,1,13/06/1969,01/01/1900 07:00:00,19,274,170,,,,,,,,,,,,,,
34060000,1,01/04/1970,01/01/1900 07:00:00,23,292,189,,,,,,,,,,,,,,
34060000,1,01/04/1970,01/01/1900 07:00:00,24,292,187,,,,,,,,,,,,,,
34060000,1,01/04/1970,01/01/1900 07:00:00,25,292,187,,,,,,,,,,,,,,
34060000,1,02/04/1970,01/01/1900 07:00:00,27,290,186,,,,,,,,,,,,,,
34060000,1,03/04/1970,01/01/1900 07:00:00,29,289,186,,,,,,,,,,,,,,
34060000,1,08/03/1971,01/01/1900 07:00:00,31,339,261,,,,,,,,,,,,,,
34060000,1,02/04/1972,01/01/1900 07:00:00,33,305,213,,,,,,,,,,,,,,
34060000,1,16/02/1973,01/01/1900 07:00:00,35,351,282,,,,,,,,,,,,,,
34060000,1,17/03/1973,01/01/1900 07:00:00,37,364,297,,,,,,,,,,,,,,
34060000,1,23/03/1973,01/01/1900 07:00:00,39,301,197,,,,,,,,,,,,,,
34060000,1,14/04/1973,01/01/1900 07:00:00,41,372,360,,,,,,,,,,,,,,
34060000,1,25/04/1973,01/01/1900 07:00:00,43,312,214,,,,,,,,,,,,,,
34060000,1,27/05/1973,01/01/1900 07:00:00,45,282,152,,,,,,,,,,,,,,
34060000,1,15/06/1973,01/01/1900 07:00:00,47,271,125,,,,,,,,,,,,,,
34060000,1,22/06/1973,01/01/1900 07:00:00,49,271,126,,,,,,,,,,,,,,
34060000,1,30/09/1973,01/01/1900 07:00:00,51,254,153,,,,,,,,,,,,,,
34060000,1,19/10/1973,01/01/1900 07:00:00,53,364,310,,,,,,,,,,,,,,
34060000,1,19/08/1982,01/01/1900 07:00:00,87,287,158,,,,,,,,,,,,,,
34060000,1,03/02/1985,01/01/1900 07:00:00,96,480,594,,,,,,,,,,,,,,
34060000,1,04/02/1985,01/01/1900 07:00:00,98,460,505,,,,,,,,,,,,,,
34060000,1,06/10/1995,01/01/1900 07:00:00,132,259,132,,,,,,,,,,,,,,
34060000,1,24/03/1996,01/01/1900 07:00:00,136,350,262,,,,,,,,,,,,,,
